time,value
1581597155025,134
1581597155051,135
1581597155302,134
1581597155378,135
1581597155403,134
1581597155453,135
1581597155505,134
1581597155582,133
1581597155607,135
1581597155710,134
1581597155787,133
1581597155812,134
1581597155837,135
1581597155914,134
1581597155992,133
1581597156043,135
1581597156068,134
1581597156093,135
1581597156143,134
1581597156244,135
1581597156293,134
1581597156371,135
1581597156396,134
1581597156524,135
1581597156574,134
1581597156675,135
1581597156726,134
1581597156751,135
1581597156801,134
1581597156878,135
1581597156980,134
1581597157056,135
1581597157106,134
1581597157133,135
1581597157209,134
1581597157288,135
1581597157391,134
1581597157543,135
1581597157570,134
1581597157621,135
1581597157648,134
1581597157699,135
1581597157828,134
1581597157854,135
1581597157878,133
1581597157930,135
1581597158057,133
1581597158082,135
1581597158108,134
1581597158159,135
1581597158261,133
1581597158337,135
1581597158389,134
1581597158414,135
1581597158516,134
1581597158543,135
1581597158619,134
1581597158671,135
1581597158698,134
1581597158748,135
1581597158925,134
1581597158950,135
1581597159102,135
1581597159126,135
1581597159152,134
1581597159287,135
1581597159338,133
1581597159365,134
1581597159440,135
1581597159467,134
1581597159494,135
1581597159518,134
1581597159620,135
1581597159695,134
1581597159721,135
1581597159771,133
1581597159824,135
1581597160419,134
1581597160470,135
